Canonical Name (Latin),Canonical Name (Greek),Variants (Latin),Variants (Greek)
Eutropios,Ευτρόπιος,Tropis,
Eutychis,Ευτύχης,"Eutychios, Eftychios",Ευτύχιος
Fanouris,Φανούρης,"Fanourios, Fanis, Nourios","Φανούριος, Φάνης"
Faustos,Φαύστος,Faustinos,
Fevronia,Φεβρωνία,"Fevro, Fenia, Ronia","Φέβρω, Φένια, Ρόνια"
Flavianos,Φλαβιανός,Flavis,
Floros,Φλώρος,Florakos,
Fokas,Φωκάς,Phokas,
Fotis,Φώτης,"Fotios, Photios, Fotakos","Φώτιος, Φωτάκος"
Gabriel,Γαβριήλ,"Gavriel, Gavrilis","Γαβρίλης, Γαβριήλος"
Galaktion,Γαλακτίων,"Galaktios, Lakis",Λάκης
Gerasimos,Γεράσιμος,"Makis, Memas","Μάκης, Μεμάς, Γερασιμάκης"
Gerbasios,Γερβάσιος,,
Giorgos,Γιώργος,"Georgios, Yiorgos, George","Γεώργιος, Γιωργάκης, Γώγος"
Glafyra,Γλαφύρα,Glafki,Γλαύκη
Glykeria,Γλυκερία,"Glyka, Ritsa","Γλύκα, Ρίτσα"
Gordios,Γόρδιος,,
Grigoris,Γρηγόρης,"Gregorios, Akis","Γρηγόριος, Άκης"
Chara,Χαρά,"Hara, Haroula",Χαρούλα
Hariklia,Χαρίκλεια,"Chariklia, Haris, Ritsa","Χάρις, Ρίτσα, Χαρίκλα"
Eleni,Ελένη,"Helene, Elena, Lena, Elenitsa","Έλενα, Λένα, Ελενίτσα, Λενιώ"
Eleanna,Ελεάννα,,
Heliodoros,Ηλιόδωρος,Doros,Δώρος
Helladios,Ελλάδιος,Elladis,Ελλάδης
Iraklis,Ηρακλής,"Heracles, Herakleios","Ηρακλάκος, Ηράκλειος"
Hermaios,Ερμαίος,,
Hermes,Ερμής,Ermis,
Hermione,Ερμιόνη,"Ermioni, Ermina","Ερμιόνη, Ερμίνα"
Hermocrates,Ερμοκράτης,Ermis,
Hermogenes,Ερμογένης,Ermis,
Hermolaos,Ερμόλαος,Ermis,
Hermylos,Ερμύλος,,
Herodion,Ηρωδίων,Irodion,
Hesychios,Ησύχιος,Hesychis,
Hilarion,Ιλαρίων,Ilaris,Ιλαρίωνας
Hilarios,Ιλάριος,Ilaris,
Hypatios,Υπάτιος,"Ypatios, Hypatis",Υπάτης
Iakinthos,Υάκινθος,Yakinthos,
Iakovos,Ιάκωβος,"Akis, Makis","Ιακωβάκης, Άκης, Μάκης"
Ianouarios,Ιανουάριος,Januarios,
Ierotheos,Ιερόθεος,Akis,Άκης
Ignatis,Ιγνάτης,"Ignatios, Natis","Ιγνάτιος, Νάτης"
Ioakeim,Ιωακείμ,"Joakim, Kimon, Makis",Μάκης
Gianna,Γιάννα,"Ioanna, Joanna, Giannoula, Vana","Ιωάννα, Γιαννούλα, Βάνα, Ζανέτ"
Giannikos,Γιαννίκος,Ioannikos,Ιωαννίκιος
Giannis,Γιάννης,"Ioannis, Yannis, John, Giannakis","Ιωάννης, Γιαννάκης, Γιαννιός, Τζαννής"
Ioel,Ιωήλ,Joel,
Ionas,Ιωνάς,Jonas,
Iosif,Ιωσήφ,"Joseph, Sifis, Sifakos","Σήφης, Ιωσήφης, Σηφάκης"
Ioudas,Ιούδας,Judas,
Ioulia,Ιουλία,"Julia, Ioulitsa, Juliet",Ιουλίτσα
Liana,Λιάνα,"Iouliane, Juliana, Lianitsa","Ιουλιανή, Λιανίτσα"
Ioulianos,Ιουλιανός,Julianos,
Ioulitte,Ιουλίττα,Litta,Λίττα
Iounia,Ιουνία,Junia,
Ioustinos,Ιουστίνος,Justinos,
Isaak,Ισαάκ,"Isaakios, Sakis","Ισαάκιος, Σάκης"
Isauros,Ίσαυρος,Isavros,
Isidoros,Ισίδωρος,"Isidoris, Doros, Sideris","Ισίδωρης, Δώρος, Σιδέρης"
Kallinike,Καλλινίκη,"Nike, Niki",Νίκη
Kallinikos,Καλλίνικος,,
Kalliope,Καλλιόπη,"Popi, Popitsa, Kalliopoula","Πόπη, Ποπίτσα, Καλλιοπίτσα, Κάλια"
Kalliopios,Καλλιόπιος,,
Kallistratos,Καλλίστρατος,"Stratos, Stratis","Στράτος, Στρατής"
Karpos,Κάρπος,,
Kassianos,Κασσιανός,Kassianis,
Kyrikos,Κήρυκος,Kerykos,
Klaudios,Κλαύδιος,Claudios,
Klimis,Κλήμης,Klementos,
Kleonikos,Κλεόνικος,Kleonis,
Kleopatra,Κλεοπάτρα,"Kleo, Patra, Patroula","Κλεώ, Πάτρα, Πατρούλα"
Kleops,Κλεόπας,,
Konon,Κόνων,Kononas,Κόνωνας
Kostas,Κώστας,"Konstantinos, Kostis, Kostakis, Dinos","Κωνσταντίνος, Κωστής, Κωστάκης, Ντίνος"
Kordatos,Κοδράτος,Kodratos,
Kornelios,Κορνήλιος,Kornilis,
Kosmas,Κοσμάς,Kosmaki,Κοσμάκης
Kreskentos,Κρήσκης,Kriskes,
Kyprianos,Κυπριανός,"Kyprianis, Kypis",
Kyriake,Κυριακή,"Kiki, Korina, Sandi, Kyriakoula","Κική, Κυριακούλα, Κορίνα, Σάντυ"
Kyriakos,Κυριάκος,Koukos,Κυριακούλης
Kyrillos,Κύριλλος,Kiril,
Kyros,Κύρος,Kyroulis,
Lavrentis,Λαυρέντης,"Laurentios, Lavrentios",Λαυρέντιος
Lauros,Λαύρος,Lavros,
Lazaros,Λάζαρος,"Lazaris, Laras",
Leon,Λέων,"Leonas, Leo",Λέοντας
Leonidas,Λεωνίδας,Leonis,Λεωνίδης
Leontios,Λεόντιος,Leontis,Λεόντης
Loukas,Λουκάς,"Loukaki, Luke",
Loukia,Λουκία,"Louki, Lucy","Λούκη, Λουκίτσα"
Loukianos,Λουκιανός,Loukianis,
Loukillianos,Λουκιλλιανός,Loukillis,
Loukios,Λούκιος,Lucius,
Lydia,Λυδία,Lidia,
Magdalini,Μαγδαληνή,"Magdalene, Magda, Magditsa, Lena","Μάγδα, Μαγδίτσα, Λένα"
Makarios,Μακάριος,Makis,Μάκης
Malachios,Μαλαχίας,,
Margarita,Μαργαρίτα,"Rita, Margie, Margaritoula","Ρίτα, Μαργαριτούλα"
Maria,Μαρία,"Mary, Marika, Maro, Marietta, Manio","Μαίρη, Μαρίκα, Μάρω, Μαριέττα, Μαριώ, Μανιώ"
Marina,Μαρίνα,"Marinaki, Marinoula","Μαρινάκη, Μαρινούλα"
Marinos,Μαρίνος,Marinakis,Μαρινάκης
Marios,Μάριος,Mariolinis,
Markella,Μαρκέλλα,Markellitsa,
Markellos,Μάρκελλος,Markis,
Markianos,Μαρκιανός,Markis,
Markina,Μαρκίνα,,
Markos,Μάρκος,Markis,
Martha,Μάρθα,Marthoula,Μαρθούλα
Martinos,Μαρτίνος,Martin,
Martyrios,Μαρτύριος,Martyris,
Matrona,Ματρώνα,"Matrone, Matroni",
Matthaios,Ματθαίος,"Mattheos, Matis",Μάθος
